Search term,Match type,Impr.,Clicks,Avg. CPC,Keyword,CTR
leonardo ai,Broad match,41,1,0.1,AI software tools,0.024390243902439025
code ai,Broad match,41,2,0.43,ai tools,0.04878048780487805
app suno ai,Phrase match,41,1,0.1,ai apps,0.024390243902439025
ia para programacion,Broad match,41,6,0.26,ai software,0.14634146341463414
inteligencia artificial imagens,Broad match,40,10,0.29,ai tools,0.25
krea ai,Broad match,40,1,0.1,AI software tools,0.025
inteligencia artificial para programar,Broad match,40,2,0.37,ai software,0.05
oasis decart ai,Broad match,40,10,0.56,ai tools,0.25
taja ai,Broad match,39,1,0.09,AI software tools,0.02564102564102564
askcodi,Broad match,39,2,0.14,coding ai,0.05128205128205128
ideogram,Broad match,39,4,0.36,AI software tools,0.10256410256410256
render ai,Broad match,39,1,0.1,ai software,0.02564102564102564
ai humanizer,Broad match,39,4,0.6,ai tools,0.10256410256410256
generar imagenes con ia,Broad match,38,4,0.1,AI software tools,0.10526315789473684
imagica ai,Phrase match (close variant),38,2,0.57,ai software,0.05263157894736842
figma ai,Broad match,38,0,0.0,AI coding tools,0.0
kling ai,Broad match,38,3,0.41,AI software tools,0.07894736842105263
ai tools,Exact match,37,1,0.36,ai tools,0.02702702702702703
ia para códigos de programação,Broad match,37,4,0.25,ai programs,0.10810810810810811
ia gratis,Phrase match (close variant),37,5,0.25,ai software,0.13513513513513514
generador de imagenes ia,Broad match,37,6,0.1,AI software helper,0.16216216216216217
ia para generar imagenes,Broad match,36,4,0.1,AI software tools,0.1111111111111111
poly ai,Broad match,36,2,0.1,ai software,0.05555555555555555
outlier ai,Broad match,35,1,0.19,AI software tools,0.02857142857142857
runwayml,Broad match,35,1,0.09,ai apps,0.02857142857142857
python online compiler,Broad match,35,5,0.1,AI coding tools,0.14285714285714285
domo ai app,Phrase match (close variant),35,3,0.1,ai software,0.08571428571428572
code generator ai,Phrase match (close variant),35,3,0.34,ai software,0.08571428571428572
hyper ai,Phrase match (close variant),35,1,0.56,ai software,0.02857142857142857
ai image generator,Broad match,34,8,0.1,ai apps,0.23529411764705882
ia para codigos de programacion,Broad match,33,0,0.0,ai programs,0.0
sketch2code,Broad match,32,1,0.23,coding ai,0.03125
crear imagenes con ia,Broad match,32,3,0.09,AI software helper,0.09375
ia,Broad match,32,0,0.0,ai software,0.0
ai programming,Broad match,32,3,0.32,ai software,0.09375
ai,Broad match,31,1,0.57,AI development aid,0.03225806451612903
ia code,Broad match,31,2,1.0,ai programs,0.06451612903225806
artificial intelligence,Broad match,30,2,0.1,ai apps,0.06666666666666667
mejor ia para programar,Broad match,30,1,0.1,ai software,0.03333333333333333
ia para crear imagenes,Broad match,30,6,0.1,AI software helper,0.2
flux ai,Broad match,30,1,0.11,ai software,0.03333333333333333
krea ai,Phrase match (close variant),30,2,0.1,ai software,0.06666666666666667
inteligencias artificiales,Broad match,30,0,0.0,ai programs,0.0
ai tools for coding,Phrase match (close variant),29,4,0.19,ai software,0.13793103448275862
polycoder,Broad match,29,0,0.0,coding ai,0.0
inteligência artificial grátis,Broad match,29,7,0.25,ai apps,0.2413793103448276
copilot ia,Broad match,29,0,0.0,ai programs,0.0
cursor ai,Broad match,28,1,0.64,ai software,0.03571428571428571
code copilot,Broad match,28,0,0.0,ai software,0.0
fooocus ai,Broad match,28,0,0.0,AI development tools,0.0
deepcode,Broad match,28,0,0.0,coding ai,0.0
inteligencia artificial online,Broad match,27,2,0.34,ai programs,0.07407407407407407
inteligência artificial gratuito,Broad match,27,6,0.29,ai apps,0.2222222222222222
ia de codigo,Broad match,27,1,0.1,coding ai,0.037037037037037035
mnml ai,Broad match,27,0,0.0,AI development tools,0.0
perplexity,Broad match,26,0,0.0,AI software tools,0.0
ia para excel,Broad match,26,0,0.0,AI for data analysis,0.0
ai para programação,Broad match,26,3,0.27,ai software,0.11538461538461539
ia gratuita,Broad match,26,3,0.24,ai software,0.11538461538461539
ai software,Exact match,26,3,0.39,ai software,0.11538461538461539
proceres ai,Broad match,26,1,0.1,AI software tools,0.038461538461538464
luna ai,Broad match,26,1,0.1,ai apps,0.038461538461538464
ai generator,Broad match,25,0,0.0,ai apps,0.0
ia free,Broad match,25,5,0.19,ai software,0.2
qual a melhor ia para programação,Broad match,25,1,0.42,ai programs,0.04
coding ai tools,Phrase match (close variant),25,2,0.13,ai software,0.08
google ai,Phrase match (close variant),25,0,0.0,ai software,0.0
criar slides com ia,Broad match,25,4,0.34,ai software,0.16
ia de microsoft,Broad match,24,0,0.0,ai software,0.0
github copilot free,Broad match,24,2,0.43,coding ai,0.08333333333333333
artificial intelligence,Broad match,24,0,0.0,ai software,0.0
claude ai,Broad match,24,0,0.0,AI software tools,0.0
recraft ai,Broad match,23,0,0.0,AI software tools,0.0
prome ai,Broad match,23,1,0.1,ai software,0.043478260869565216
decohere ai,Phrase match (close variant),23,1,0.1,AI software tools,0.043478260869565216
julius ai,Broad match,23,0,0.0,ai software,0.0
abacus ai,Broad match,23,0,0.0,ai software,0.0
app kits ia,Broad match,23,2,0.1,ai apps,0.08695652173913043
makecode microbit org,Broad match,23,1,0.1,AI-powered coding,0.043478260869565216
ai tool,Broad match,23,1,0.16,ai software,0.043478260869565216
inteligência artificial para criar imagens,Broad match,23,7,0.31,ai programs,0.30434782608695654
creador de imagenes ia,Broad match,23,1,0.1,AI software helper,0.043478260869565216
ai code review,Exact match,22,1,0.2,AI code review,0.045454545454545456
github copilot free,Broad match,22,1,0.1,ai software,0.045454545454545456
prome ia,Broad match,22,0,0.0,ai software,0.0
free ai api,Phrase match (close variant),22,0,0.0,ai software,0.0
deepai,Broad match,22,1,0.29,AI software tools,0.045454545454545456
python online compiler,Broad match,22,0,0.0,AI-powered coding,0.0
ia para desenvolvedores,Broad match,22,11,0.44,AI for developers,0.5
abacus ai,Phrase match (close variant),22,0,0.0,ai software,0.0
yapay zeka,Broad match,22,2,0.1,ai software,0.09090909090909091
assembly ia,Broad match,21,0,0.0,ai programs,0.0
kaiber,Broad match,21,1,0.1,AI software tools,0.047619047619047616
ai code assistant,Phrase match (close variant),21,0,0.0,ai software,0.0
ia creador de imagenes,Broad match,21,3,0.1,AI software tools,0.14285714285714285
inteligência artificial para programação,Broad match,21,6,0.29,ai programs,0.2857142857142857
free ai tools,Phrase match (close variant),21,1,0.1,ai software,0.047619047619047616
the ai code editor,Phrase match (close variant),21,1,0.21,ai software,0.047619047619047616
flux ai,Phrase match (close variant),21,1,0.28,ai software,0.047619047619047616
codeium,Phrase match (close variant),21,1,0.21,ai software,0.047619047619047616
humanizer ai,Broad match,21,2,0.56,AI software tools,0.09523809523809523
flutter ai,Phrase match (close variant),21,0,0.0,ai software,0.0
ai para programar,Broad match,21,4,0.18,ai software,0.19047619047619047
hyper ai,Broad match,20,0,0.0,ai software,0.0
sora ai,Broad match,20,1,0.1,AI development tools,0.05
copilot designer,Broad match,20,0,0.0,coding ai,0.0
code ai generator,Phrase match (close variant),20,1,0.09,ai software,0.05
newarc ai,Broad match,20,0,0.0,AI development tools,0.0
python online compiler,Broad match,20,4,0.1,coding ai,0.2
lookx ai,Broad match,20,0,0.0,ai software,0.0
code copilot,Broad match,20,2,0.34,AI coding assistant,0.1
free ai,Phrase match (close variant),20,3,0.74,ai software,0.15
ai app,Broad match,20,4,0.1,ai software,0.2
krea ia,Broad match,20,0,0.0,AI software tools,0.0
scale ai,Broad match,20,0,0.0,AI software tools,0.0
como criar uma ia,Broad match,20,3,0.29,ai programs,0.15
ai code editor,Phrase match (close variant),20,2,0.19,ai software,0.1
qual melhor ia para programação,Broad match,20,2,0.33,ai programs,0.1
kaiber,Broad match,20,1,0.36,AI development tools,0.05
humanize ai,Broad match,20,2,0.53,ai apps,0.1
melhor ia para programar,Broad match,20,5,0.31,ai programs,0.25
free ai code generator,Phrase match (close variant),20,1,0.58,ai software,0.05
app kits ai,Broad match,20,1,0.1,ai apps,0.05
amazon codewhisperer,Broad match,20,0,0.0,coding ai,0.0
langflow,Broad match,20,0,0.0,artificial intelligence programming,0.0
inteligencia artificial programação,Broad match,20,2,0.36,ai software,0.1
devin ai,Broad match,19,2,0.09,ai apps,0.10526315789473684
python online compiler,Broad match,19,0,0.0,AI code enhancement,0.0
zzz code ai,Broad match,19,0,0.0,ai tools,0.0
online python compiler,Broad match,19,1,0.1,AI-enhanced coding,0.05263157894736842
code copilot,Broad match,19,1,0.19,coding ai,0.05263157894736842
revid ai,Phrase match (close variant),19,0,0.0,ai software,0.0
humanizer ai,Broad match,19,1,0.51,ai tools,0.05263157894736842
ia para dev,Broad match,19,3,0.2,AI for developers,0.15789473684210525
ia para fazer slides,Broad match,19,3,0.48,ai software,0.15789473684210525
ia para codigos,Broad match,19,1,0.24,coding ai,0.05263157894736842
ia para criar codigos de programação,Broad match,19,1,0.1,coding ai,0.05263157894736842
ai website,Broad match,19,6,0.1,ai software,0.3157894736842105
openai codex,Phrase match (close variant),19,0,0.0,ai software,0.0
ia para criar slides,Broad match,18,3,0.37,ai software,0.16666666666666666
dora ai,Broad match,18,2,0.1,AI development tools,0.1111111111111111
kaiber ai,Broad match,18,0,0.0,AI development tools,0.0
lookx ai,Phrase match (close variant),18,0,0.0,ai software,0.0
domo ai,Phrase match (close variant),18,0,0.0,AI software tools,0.0
durable ai,Phrase match (close variant),18,1,0.1,ai software,0.05555555555555555
ia generador de imagenes,Broad match,18,2,0.1,AI software helper,0.1111111111111111
vertex ai,Phrase match (close variant),18,0,0.0,ai software,0.0
kite ai,Broad match,18,2,0.1,ai software,0.1111111111111111
ai app,Exact match (close variant),18,2,0.1,ai apps,0.1111111111111111
relevance ai,Broad match,17,1,0.79,ai software,0.058823529411764705
programming ai,Broad match,17,2,0.21,ai software,0.11764705882352941
inteligencias artificiais,Broad match,17,1,0.18,ai programs,0.058823529411764705
deepai,Phrase match (close variant),17,0,0.0,ai software,0.0
ai studio,Broad match,17,0,0.0,ai programs,0.0
replit ghostwriter,Broad match,17,0,0.0,coding ai,0.0
code ia,Broad match,17,0,0.0,ai programs,0.0
ia que cria slides,Broad match,17,0,0.0,ai software,0.0
искусственный интеллект онлайн,Broad match,17,0,0.0,ai programs,0.0
ai coding assistant,Exact match,17,4,0.16,AI coding assistant,0.23529411764705882
galileo ai,Phrase match (close variant),17,0,0.0,ai software,0.0
ia open source,Broad match,17,1,0.64,ai software,0.058823529411764705
app rask ai,Phrase match (close variant),17,0,0.0,ai software,0.0
best ai for coding free,Phrase match (close variant),17,4,0.29,ai software,0.23529411764705882
replit ai,Phrase match (close variant),17,0,0.0,ai programs,0.0
immersity ai,Broad match,17,1,0.57,ai software,0.058823529411764705
yazılım için yapay zeka,Phrase match (close variant),17,1,0.1,ai software,0.058823529411764705
best ai code generator,Phrase match (close variant),17,2,0.3,ai software,0.11764705882352941
best coding ai,Phrase match (close variant),17,0,0.0,ai software,0.0
decohere ai,Phrase match (close variant),17,5,0.1,ai software,0.29411764705882354
tabnine ai,Phrase match (close variant),17,0,0.0,ai software,0.0
criar apresentação com ia,Broad match,17,2,0.31,ai software,0.11764705882352941
gemini ai,Broad match,17,0,0.0,AI development tools,0.0
github ai,Phrase match (close variant),17,1,0.18,ai software,0.058823529411764705
generador de ia,Broad match,16,0,0.0,ai software,0.0
ia codigo,Broad match,16,1,0.18,coding ai,0.0625
devin ai,Broad match,16,0,0.0,AI software tools,0.0
inteligencia artificial para programação,Broad match,16,1,0.69,ai programs,0.0625
rendernet ai,Broad match,16,1,0.22,ai software,0.0625
cursor ai,Broad match,16,1,0.53,coding ai,0.0625
ai tools,Exact match (close variant),16,0,0.0,ai software,0.0
flux ai,Broad match,16,0,0.0,AI development tools,0.0
melhor inteligencia artificial para programação,Broad match,16,2,0.47,ai programs,0.125
generar imagenes con ia,Broad match,16,2,0.1,AI software helper,0.125
ai programacion,Broad match,16,2,0.34,ai software,0.125
ai,Broad match,16,3,0.56,ai apps,0.1875
alaya ai,Broad match,16,0,0.0,ai software,0.0
krea ai,Broad match,16,1,0.1,ai software,0.0625
ia para programação,Broad match,16,4,0.37,ai software,0.25
turbolearn ai,Broad match,16,0,0.0,coding ai,0.0
deepcode ai,Phrase match (close variant),16,1,0.1,ai software,0.0625
ideogram ai,Broad match,16,0,0.0,ai apps,0.0
useblackbox io,Broad match,16,2,0.14,coding ai,0.125
codegeex,Broad match,16,1,0.1,coding ai,0.0625
unriddle ai,Phrase match (close variant),16,1,2.44,ai software,0.0625
no code ai,Phrase match (close variant),16,1,0.2,ai software,0.0625
developer ai,Broad match,16,1,0.1,ai software,0.0625
hedra ai,Broad match,16,1,0.21,AI software tools,0.0625
figma ai,Phrase match (close variant),16,0,0.0,ai apps,0.0
ask codi,Broad match,15,1,0.1,coding ai,0.06666666666666667
ia que cria graficos,Broad match,15,4,0.32,ai programs,0.26666666666666666
ai tool for coding,Phrase match (close variant),15,2,0.21,ai software,0.13333333333333333
project maker ai,Broad match,15,4,0.18,ai software,0.26666666666666666
ai for developers,Exact match,15,0,0.0,AI for developers,0.0
ia para codigo,Broad match,15,1,0.1,coding ai,0.06666666666666667
image to code ai,Phrase match (close variant),15,0,0.0,coding ai,0.0
ias para programar,Broad match,15,0,0.0,ai programs,0.0
microsoft ai,Phrase match (close variant),15,0,0.0,ai software,0.0
code ai,Broad match,15,2,0.15,ai programs,0.13333333333333333
ia para devs,Broad match,15,1,0.1,AI for developers,0.06666666666666667
ia que programa sozinho,Broad match,15,4,0.17,ai software,0.26666666666666666
como criar uma inteligência artificial,Broad match,15,2,0.35,ai programs,0.13333333333333333
code generator ai,Broad match,15,0,0.0,ai software,0.0
programar con ia,Broad match,15,2,0.34,ai software,0.13333333333333333
gemini ai,Phrase match (close variant),15,0,0.0,ai programs,0.0
groq ai,Broad match,15,0,0.0,AI for data analysis,0.0
new ai,Broad match,15,2,0.36,ai software,0.13333333333333333
claude ai,Phrase match (close variant),15,0,0.0,AI software tools,0.0
aithor ia,Broad match,15,0,0.0,ai apps,0.0
jasper ai,Broad match,15,0,0.0,ai software,0.0
civitai,Broad match,14,0,0.0,ai software,0.0
ai jobs,Broad match,14,0,0.0,ai engineer,0.0
ai presentation maker free,Broad match,14,0,0.0,ai software,0.0
inteligência artificial que faz slides grátis,Broad match,14,5,0.41,ai software,0.35714285714285715
askcodi,Broad match,14,1,0.28,ai programs,0.07142857142857142
open source ai,Phrase match (close variant),14,2,0.93,ai software,0.14285714285714285
criador de slides ia,Broad match,14,3,0.29,ai software,0.21428571428571427
inteligencia artificial crear imagenes,Broad match,14,1,0.1,AI software tools,0.07142857142857142
ia para códigos de programación gratis,Broad match,14,3,0.36,ai programs,0.21428571428571427
ia para gerar codigos,Broad match,14,2,0.2,coding ai,0.14285714285714285
tryoutlier,Broad match,14,0,0.0,AI software tools,0.0
python ai,Phrase match (close variant),14,2,0.37,ai software,0.14285714285714285
ia gratis,Broad match,14,1,0.66,ai apps,0.07142857142857142
future tools,Broad match,14,1,0.19,ai tools,0.07142857142857142
ibm watson assistant,Broad match,14,1,0.62,AI coding assistant,0.07142857142857142
tensorflow,Phrase match (close variant),14,1,0.1,ai software,0.07142857142857142
ai tools free,Phrase match (close variant),14,1,0.1,ai software,0.07142857142857142
software engineer ai,Phrase match,14,1,0.1,ai software,0.07142857142857142
dev ai,Broad match,14,1,0.24,ai software,0.07142857142857142
invoke ai,Broad match,14,0,0.0,AI development tools,0.0
ai developer,Broad match,14,0,0.0,ai software,0.0
deep ai,Phrase match (close variant),14,0,0.0,ai software,0.0
txyz ai,Broad match,14,0,0.0,ai apps,0.0
ai de programação,Broad match,14,6,0.43,ai software,0.42857142857142855
github copilot alternative,Broad match,14,0,0.0,ai software,0.0
imagica ai,Broad match,14,0,0.0,ai software,0.0
blackbox al,Broad match,14,0,0.0,AI coding tools,0.0
online python compiler,Broad match,14,1,0.1,AI-powered coding,0.07142857142857142
coding ai free,Phrase match (close variant),14,2,0.29,ai software,0.14285714285714285
new ai tools,Phrase match (close variant),13,0,0.0,ai software,0.0
blackbox ai,Phrase match (close variant),13,1,0.1,AI software tools,0.07692307692307693
appy pie,Broad match,13,0,0.0,ai apps,0.0
lensgo ai,Broad match,13,1,0.1,AI software tools,0.07692307692307693
adobe sensei,Broad match,13,0,0.0,AI development tools,0.0
inteligencia artificial que crea imagenes,Broad match,13,3,0.1,AI software tools,0.23076923076923078
ai coding,Phrase match (close variant),13,1,0.44,ai software,0.07692307692307693
code ia,Exact match (close variant),13,1,0.1,coding ai,0.07692307692307693
ia para desarrollo de software,Broad match,13,2,0.52,ai software,0.15384615384615385
tryoutlier,Broad match,13,0,0.0,AI coding tools,0.0
ui design ai,Broad match,13,0,0.0,ai apps,0.0
ai gratis,Broad match,13,0,0.0,ai software,0.0
generador de imagenes con ia,Broad match,13,1,0.09,AI software tools,0.07692307692307693
crear imagen con ia,Broad match,13,2,0.1,AI software tools,0.15384615384615385
ia programacion gratis,Broad match,13,3,0.25,ai programs,0.23076923076923078
intellicode,Broad match,13,0,0.0,coding ai,0.0
ia inteligencia artificial,Broad match,13,0,0.0,ai programs,0.0
codet5,Broad match,13,1,0.67,ai software,0.07692307692307693
code ia,Broad match,13,1,0.4,ai tools,0.07692307692307693
ia para códigos de programação,Broad match,13,0,0.0,coding ai,0.0
inteligencia artificial de programação,Broad match,13,5,0.22,ai programs,0.38461538461538464
ia que crea imagenes,Broad match,13,2,0.1,AI software tools,0.15384615384615385
ai test,Broad match,13,1,0.1,AI unit testing,0.07692307692307693
harpa ai,Broad match,12,1,0.29,ai tools,0.08333333333333333
microsoft ai,Broad match,12,0,0.0,ai software,0.0
napkin ai,Broad match,12,2,0.56,ai tools,0.16666666666666666
codigo ia,Broad match,12,0,0.0,coding ai,0.0
ia para imagenes,Broad match,12,1,0.1,AI software helper,0.08333333333333333
openai playground,Broad match,12,1,0.2,ai software,0.08333333333333333
segmind,Broad match,12,0,0.0,AI development tools,0.0
code llama,Broad match,12,0,0.0,AI coding tools,0.0
ia para desenvolvimento de software,Broad match,12,1,0.56,ai software,0.08333333333333333
ai2 appinventor mit edu,Broad match,12,0,0.0,ai apps,0.0
crear imágenes con inteligencia artificial,Broad match,12,0,0.0,AI software tools,0.0
open ai playground,Broad match,12,2,0.16,ai software,0.16666666666666666
ia para codigo,Broad match,12,2,0.1,ai software,0.16666666666666666
ai python code generator,Phrase match (close variant),12,0,0.0,ai software,0.0
ia que cria código de programação,Broad match,12,3,0.32,coding ai,0.25
ai coder,Broad match,12,0,0.0,ai software,0.0
google colab python,Broad match,12,0,0.0,AI coding assistant,0.0
phind ai,Broad match,12,0,0.0,AI development tools,0.0
ia de codigos,Broad match,12,1,0.25,coding ai,0.08333333333333333
websim ai,Broad match,12,1,0.75,ai software,0.08333333333333333
ai project,Broad match,12,1,0.1,ai software,0.08333333333333333
learning studio ai,Broad match,12,0,0.0,ai software,0.0
future tools,Broad match,12,0,0.0,ai apps,0.0
ia que cria slides a partir de textos,Broad match,12,3,0.37,ai software,0.25
chatgpt alternative,Broad match,12,1,0.1,ai apps,0.08333333333333333
copilot ai,Phrase match (close variant),12,0,0.0,ai software,0.0
vertex ai,Broad match,12,1,0.59,ai software,0.08333333333333333
cloud ai,Broad match,12,0,0.0,AI for data analysis,0.0
glasp ai,Phrase match (close variant),12,0,0.0,ai software,0.0
reimagine ai,Phrase match (close variant),12,0,0.0,ai software,0.0
programas para programar,Broad match,12,1,0.47,coding ai,0.08333333333333333
jibyte,Broad match,12,0,0.0,AI development tools,0.0
ia programacao,Broad match,12,1,0.38,ai software,0.08333333333333333
pixverse ai,Broad match,12,0,0.0,ai apps,0.0
blackbox ai,Phrase match (close variant),12,0,0.0,AI for coding,0.0
generative ai,Broad match,12,0,0.0,ai software,0.0
ai coding tools,Exact match,12,1,0.1,AI coding tools,0.08333333333333333
ia para ajudar a programar,Broad match,11,1,0.37,ai programs,0.09090909090909091
inner ai,Broad match,11,1,0.35,ai tools,0.09090909090909091
blackboxai,Broad match,11,0,0.0,ai programs,0.0
ia,Broad match,11,0,0.0,ai programs,0.0
coding app,Broad match,11,1,0.1,AI coding assistant,0.09090909090909091
claude ai,Broad match,11,0,0.0,ai apps,0.0
sora openai,Broad match,11,0,0.0,AI development tools,0.0
code assistant ai,Phrase match (close variant),11,0,0.0,ai software,0.0
remaker ai,Phrase match (close variant),11,0,0.0,ai software,0.0
ai for code generation,Phrase match (close variant),11,0,0.0,ai software,0.0
excel con ia,Broad match,11,1,0.1,AI for data analysis,0.09090909090909091
fazer slides com ia,Broad match,11,3,0.27,ai software,0.2727272727272727
moshi ai,Broad match,11,0,0.0,AI software tools,0.0
stack ai,Phrase match (close variant),11,1,0.1,ai software,0.09090909090909091
ia para codar,Broad match,11,1,0.28,ai programs,0.09090909090909091
yazılım ai,Phrase match (close variant),11,0,0.0,ai software,0.0
ai engineer,Exact match,11,0,0.0,ai engineer,0.0
mywhiteboard ai,Phrase match (close variant),11,2,0.32,ai software,0.18181818181818182
codecanyon,Broad match,11,0,0.0,ai software,0.0
getimg ai,Broad match,11,1,0.09,ai software,0.09090909090909091
pi ai,Broad match,11,0,0.0,ai apps,0.0
inteligência artificial que cria imagens grátis,Broad match,11,5,0.31,ai download,0.45454545454545453
sql ai,Phrase match (close variant),11,0,0.0,ai software,0.0
blackbox ai code,Phrase match (close variant),11,0,0.0,ai software,0.0
domoai app,Broad match,11,2,0.24,ai software,0.18181818181818182
free coding ai,Phrase match (close variant),11,2,0.33,ai software,0.18181818181818182
en iyi yapay zeka uygulamaları,Phrase match (close variant),11,0,0.0,ai apps,0.0
github ia,Broad match,11,0,0.0,ai software,0.0
zzz code ai,Phrase match (close variant),11,1,0.1,ai software,0.09090909090909091
ai code writer,Phrase match (close variant),11,1,0.17,ai software,0.09090909090909091
stable diffusion ai,Broad match,11,0,0.0,ai software,0.0
inteligencia artificial gratis,Phrase match (close variant),11,2,0.23,ai software,0.18181818181818182
ideogram ai,Broad match,11,0,0.0,ai software,0.0
julius ai,Broad match,10,0,0.0,AI for data analysis,0.0
visoid ai,Phrase match (close variant),10,0,0.0,ai software,0.0
ai unit test generation,Broad match,10,0,0.0,ai software,0.0
gamma app,Broad match,10,1,0.63,ai apps,0.1
ai for programming,Exact match,10,0,0.0,ai for programming,0.0
perplexity ai,Phrase match (close variant),10,0,0.0,ai apps,0.0
ia que ajuda a programar,Broad match,10,2,0.27,ai programs,0.2
ai assistant,Broad match,10,0,0.0,ai software,0.0
ia para codigo de programação,Broad match,10,0,0.0,ai programs,0.0
ia javascript,Broad match,10,0,0.0,ai software,0.0
ai agents,Broad match,10,0,0.0,ai apps,0.0
replicate ai,Broad match,10,0,0.0,AI software tools,0.0
online python compiler,Broad match,10,0,0.0,AI code enhancement,0.0
